car_name,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,selling_price
0,9,120000,0,0,0,120000
1,5,20000,0,0,0,550000
2,11,60000,0,0,0,215000
0,9,37000,0,0,0,226000
3,6,30000,1,1,0,570000
4,8,35000,0,0,0,350000
5,8,40000,1,0,0,315000
4,3,17512,1,0,0,410000
6,2,20000,0,0,1,1050000
7,4,28321,1,0,0,511000
8,8,65278,1,1,0,425000
9,5,50000,0,1,0,750000
10,4,6000,1,0,1,3250000
11,5,76000,1,1,0,650000
7,5,20000,0,1,0,627000
12,7,65000,1,1,1,1425000
7,7,62200,1,1,0,425000
13,8,110000,0,1,0,605000
14,6,20000,0,0,0,600000
15,5,40000,0,0,0,575000
16,8,47000,1,0,0,425000
0,8,25000,1,0,0,230000
17,2,15000,0,1,0,1225000
18,6,50000,0,0,0,750000
19,10,25000,0,1,0,350000
15,6,90000,0,1,0,600000
15,8,45000,1,1,0,390000
18,14,77253,1,0,0,145000
2,3,25000,0,0,0,700000
20,8,110000,0,1,0,1150000
21,4,30000,0,0,0,340000
22,5,39993,1,0,0,465000
23,12,80000,0,0,0,125000
24,9,185000,0,1,0,600000
15,8,90000,0,1,0,380000
2,3,15000,0,1,0,850000
2,3,40000,0,0,0,598000
18,6,31180,1,0,1,700000
15,7,56000,1,1,0,410000
14,5,52427,1,0,1,590000
19,1,40000,0,1,0,850000
25,3,17000,0,0,0,550000
14,5,22000,1,0,0,625000
15,5,54000,0,0,0,600000
4,2,10000,0,0,0,445000
26,2,20000,0,0,0,530000
4,3,53237,2,2,0,410000
27,3,27263,0,0,0,350000
8,7,110000,0,1,0,520000
2,5,70000,0,1,0,750000
15,4,70000,0,1,0,560000
2,2,39000,1,0,0,655000
23,14,56000,1,0,0,125000
2,3,34000,0,0,0,550000
28,4,50000,0,1,0,1150000
16,9,77400,0,1,0,500000
29,2,36000,0,1,0,990000
8,8,47876,1,1,0,551000
24,3,21500,0,1,1,1650000
1,6,75000,1,1,0,350000
30,4,58000,1,0,0,500000
15,3,30000,0,0,0,575000
1,3,50000,0,1,0,545000
31,4,19093,2,0,0,525000
22,7,50000,0,0,0,400000
4,15,37000,1,0,0,155000
15,5,47000,1,1,0,545000
18,8,70000,0,0,0,545000
21,5,25000,0,0,0,240000
32,3,26000,1,1,0,725000
30,4,30000,0,0,0,480000
2,8,15000,0,0,0,375000
7,10,160000,0,1,0,225000
33,4,32100,0,0,0,400000
2,5,22000,1,0,0,550000
28,5,44000,1,1,0,1050000
34,5,78000,1,0,0,450000
12,9,74352,1,0,1,775000
4,7,37000,0,0,0,350000
18,7,69000,1,1,0,550000
35,2,12120,0,0,0,1080000
14,5,52000,1,0,0,575000
13,5,120000,0,1,0,950000
