car_name,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,selling_price
33,5,48000,1,0,0,325000
7,4,14838,0,0,0,525000
19,7,89000,1,1,0,625000
28,4,60000,0,1,0,1250000
4,6,114183,0,0,0,350000
61,4,51000,0,1,0,1250000
13,8,80000,1,1,0,600000
2,2,23700,0,0,0,550000
24,3,46000,1,1,0,1775000
34,9,65000,1,1,0,365000
13,9,255000,0,1,0,725000
18,5,57116,1,0,0,665000
18,5,27000,1,0,0,765000
4,10,97319,0,0,0,300000
32,4,24000,1,1,0,785000
24,6,55424,1,1,0,850000
18,6,25720,1,0,0,765000
47,8,120000,0,1,0,480000
39,4,90000,1,0,1,1490000
5,12,56700,1,0,0,245000
5,6,48429,1,0,0,315000
34,5,24000,1,0,1,700000
1,7,43000,1,0,0,380000
2,7,81000,1,1,0,475000
31,7,58187,1,1,0,265000
11,7,65000,1,0,0,540000
38,9,65000,1,1,1,1855000
18,11,92000,1,0,0,300000
60,15,70000,0,0,1,200000
22,8,92000,1,1,0,425000
1,2,9000,0,1,0,650000
8,10,81000,0,0,0,336000
1,4,30000,0,1,0,390000
2,7,44000,0,1,0,460000
4,5,50000,0,0,0,350000
3,3,36000,1,1,0,825000
37,5,15000,0,0,0,350000
43,9,75000,1,1,1,1290000
13,6,65000,1,1,0,850000
34,6,95000,1,1,0,555000
2,7,24000,0,0,0,500000
19,6,65211,1,1,0,700000
11,2,40000,1,0,0,825000
13,5,61667,1,1,1,1895000
0,6,28882,1,0,0,310000
26,3,30000,1,0,0,570000
0,4,14400,0,0,0,320000
79,3,10000,1,1,1,4950000
4,10,50000,1,0,0,275000
5,9,46100,1,0,0,270000
3,3,74000,1,1,0,795000
63,6,45000,1,1,1,1300000
7,13,110000,0,1,0,220000
4,5,30000,1,2,0,375000
9,5,80000,0,1,0,950000
1,7,35000,0,0,0,425000
35,2,12120,0,0,0,1080000
15,5,90000,0,1,0,552000
1,5,29000,1,0,0,495000
44,5,40000,1,1,1,1850000
15,5,50125,1,0,0,640000
106,3,10000,1,0,1,6950000
11,5,52000,1,0,0,650000
4,12,64321,1,0,0,235000
0,15,110000,0,0,0,115000
7,3,13000,1,0,1,670000
51,5,40000,1,0,0,365000
20,3,39000,1,1,1,3040000
18,3,21000,1,0,1,1185000
47,4,76759,1,1,0,835000
7,9,52000,1,0,0,299000
0,10,69000,1,0,0,140000
64,2,35000,0,1,0,950000
14,4,33528,2,0,0,540000
0,3,25000,0,0,1,410000
92,9,88000,1,1,1,1275000
8,8,51000,1,1,0,625000
8,9,60002,1,1,1,550000
0,11,78000,1,0,0,245000
3,6,80000,0,1,0,450000
92,4,40000,0,1,1,3750000
28,7,120000,0,1,0,492000
27,3,14001,1,0,1,349000
8,9,70000,1,1,0,475000
95,8,52000,1,1,1,1200000
4,15,90000,0,0,0,80000
5,12,38564,1,0,0,240000
17,3,47800,0,0,1,1215000
36,5,2000,1,0,1,466000
96,3,2300,1,0,0,325000
4,5,36100,1,2,0,414000
11,2,2950,1,0,1,1100000
15,8,74581,1,1,0,550000
1,3,36000,1,0,0,540000
31,10,90000,0,1,0,200000
22,7,45000,1,1,0,372000
77,3,19000,1,1,0,1700000
7,3,10000,0,0,0,640000
51,5,55000,0,2,0,270000
7,9,64000,1,1,0,275000
0,7,10000,0,0,0,320000
0,4,20000,0,0,0,350000
15,6,49000,1,1,0,470000
8,7,90000,0,1,0,590000
9,6,70000,0,1,0,690000
38,4,51000,1,1,1,3300000
13,8,119970,0,1,0,750000
47,12,80000,0,1,0,265000
8,14,70000,0,0,0,125000
0,15,30000,0,0,0,135000
26,2,20000,0,0,0,530000
28,3,50000,0,1,0,1450000
22,1,1800,0,0,0,720000
32,4,36000,1,1,0,895000
51,5,64850,0,2,0,320000
67,3,33000,1,1,1,951000
8,8,61827,1,1,1,711000
32,4,91062,1,1,0,900000
2,3,10114,1,0,0,690000
106,4,29000,1,1,1,6199000
34,3,15000,0,0,0,595000
52,10,85000,0,1,1,1550000
15,9,55000,1,0,0,335000
24,6,70765,1,1,0,1085000
21,3,39000,0,0,0,325000
14,5,20000,0,0,0,599000
15,4,31000,1,0,0,650000
12,11,75900,1,1,1,850000
23,3,13447,1,0,1,490000
36,2,15230,1,0,0,475000
40,5,64000,1,1,0,2090000
16,10,78265,1,1,0,375000
44,4,53700,0,1,1,1760000
32,4,68000,1,1,0,800000
3,2,40000,0,1,0,1100000
29,1,8000,0,1,0,950000
7,10,120000,0,1,0,250000
8,10,110000,0,1,0,530000
4,7,70000,0,0,0,400000
0,5,30265,1,2,0,295000
22,7,170000,0,1,0,450000
48,2,15000,0,1,0,950000
66,8,40000,0,0,0,430000
8,9,56702,1,1,0,525000
