car_name,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,selling_price
Maruti Alto,9,120000,Individual,Petrol,Manual,120000
Hyundai Grand,5,20000,Individual,Petrol,Manual,550000
Hyundai i20,11,60000,Individual,Petrol,Manual,215000
Maruti Alto,9,37000,Individual,Petrol,Manual,226000
Ford Ecosport,6,30000,Dealer,Diesel,Manual,570000
Maruti Wagon R,8,35000,Individual,Petrol,Manual,350000
Hyundai i10,8,40000,Dealer,Petrol,Manual,315000
Maruti Wagon R,3,17512,Dealer,Petrol,Manual,410000
Hyundai Venue,2,20000,Individual,Petrol,Automatic,1050000
Maruti Swift,4,28321,Dealer,Petrol,Manual,511000
Hyundai Verna,8,65278,Dealer,Diesel,Manual,425000
Renault Duster,5,50000,Individual,Diesel,Manual,750000
Mini Cooper,4,6000,Dealer,Petrol,Automatic,3250000
Maruti Ciaz,5,76000,Dealer,Diesel,Manual,650000
Maruti Swift,5,20000,Individual,Diesel,Manual,627000
Mercedes-Benz C-Class,7,65000,Dealer,Diesel,Automatic,1425000
Maruti Swift,7,62200,Dealer,Diesel,Manual,425000
Toyota Innova,8,110000,Individual,Diesel,Manual,605000
Maruti Baleno,6,20000,Individual,Petrol,Manual,600000
Maruti Swift Dzire,5,40000,Individual,Petrol,Manual,575000
Volkswagen Vento,8,47000,Dealer,Petrol,Manual,425000
Maruti Alto,8,25000,Dealer,Petrol,Manual,230000
Hyundai Creta,2,15000,Individual,Diesel,Manual,1225000
Honda City,6,50000,Individual,Petrol,Manual,750000
Mahindra Bolero,10,25000,Individual,Diesel,Manual,350000
Maruti Swift Dzire,6,90000,Individual,Diesel,Manual,600000
Maruti Swift Dzire,8,45000,Dealer,Diesel,Manual,390000
Honda City,14,77253,Dealer,Petrol,Manual,145000
Hyundai i20,3,25000,Individual,Petrol,Manual,700000
Toyota Fortuner,8,110000,Individual,Diesel,Manual,1150000
Renault KWID,4,30000,Individual,Petrol,Manual,340000
Honda Amaze,5,39993,Dealer,Petrol,Manual,465000
Hyundai Santro,12,80000,Individual,Petrol,Manual,125000
Mahindra XUV500,9,185000,Individual,Diesel,Manual,600000
Maruti Swift Dzire,8,90000,Individual,Diesel,Manual,380000
Hyundai i20,3,15000,Individual,Diesel,Manual,850000
Hyundai i20,3,40000,Individual,Petrol,Manual,598000
Honda City,6,31180,Dealer,Petrol,Automatic,700000
Maruti Swift Dzire,7,56000,Dealer,Diesel,Manual,410000
Maruti Baleno,5,52427,Dealer,Petrol,Automatic,590000
Mahindra Bolero,1,40000,Individual,Diesel,Manual,850000
Mahindra KUV100,3,17000,Individual,Petrol,Manual,550000
Maruti Baleno,5,22000,Dealer,Petrol,Manual,625000
Maruti Swift Dzire,5,54000,Individual,Petrol,Manual,600000
Maruti Wagon R,2,10000,Individual,Petrol,Manual,445000
Maruti Ignis,2,20000,Individual,Petrol,Manual,530000
Maruti Wagon R,3,53237,Trustmark Dealer,CNG,Manual,410000
Datsun RediGO,3,27263,Individual,Petrol,Manual,350000
Hyundai Verna,7,110000,Individual,Diesel,Manual,520000
Hyundai i20,5,70000,Individual,Diesel,Manual,750000
Maruti Swift Dzire,4,70000,Individual,Diesel,Manual,560000
Hyundai i20,2,39000,Dealer,Petrol,Manual,655000
Hyundai Santro,14,56000,Dealer,Petrol,Manual,125000
Hyundai i20,3,34000,Individual,Petrol,Manual,550000
Mahindra Scorpio,4,50000,Individual,Diesel,Manual,1150000
Volkswagen Vento,9,77400,Individual,Diesel,Manual,500000
Mahindra Marazzo,2,36000,Individual,Diesel,Manual,990000
